sample_number,site_id,date,lake,site_type,depth_category,method,toxin_class,total
282,BKS_BL_SH_01,2025-08-18,brooks,shore,NA,grab,anatoxin,0
282,BKS_BL_SH_01,2025-08-18,brooks,shore,NA,grab,cylindrospermopsin,0
282,BKS_BL_SH_01,2025-08-18,brooks,shore,NA,grab,microcystin,0
282,BKS_BL_SH_01,2025-08-18,brooks,shore,NA,grab,nodularin,0
283,BKS_BL_SH_02,2025-08-18,brooks,shore,NA,grab,anatoxin,0
283,BKS_BL_SH_02,2025-08-18,brooks,shore,NA,grab,cylindrospermopsin,0
283,BKS_BL_SH_02,2025-08-18,brooks,shore,NA,grab,microcystin,0
283,BKS_BL_SH_02,2025-08-18,brooks,shore,NA,grab,nodularin,0
284,BKS_BL_SH_03,2025-08-18,brooks,shore,NA,grab,anatoxin,0
284,BKS_BL_SH_03,2025-08-18,brooks,shore,NA,grab,cylindrospermopsin,0
284,BKS_BL_SH_03,2025-08-18,brooks,shore,NA,grab,microcystin,0
284,BKS_BL_SH_03,2025-08-18,brooks,shore,NA,grab,nodularin,0
285,BKS_BL_SH_04,2025-08-20,brooks,shore,NA,grab,anatoxin,0
285,BKS_BL_SH_04,2025-08-20,brooks,shore,NA,grab,cylindrospermopsin,0
285,BKS_BL_SH_04,2025-08-20,brooks,shore,NA,grab,microcystin,0
285,BKS_BL_SH_04,2025-08-20,brooks,shore,NA,grab,nodularin,0
286,BKS_BL_SH_05,2025-08-20,brooks,shore,NA,grab,anatoxin,0
286,BKS_BL_SH_05,2025-08-20,brooks,shore,NA,grab,cylindrospermopsin,0
286,BKS_BL_SH_05,2025-08-20,brooks,shore,NA,grab,microcystin,0
286,BKS_BL_SH_05,2025-08-20,brooks,shore,NA,grab,nodularin,0
287,BKS_BL_SH_06,2025-08-20,brooks,shore,NA,grab,anatoxin,0
287,BKS_BL_SH_06,2025-08-20,brooks,shore,NA,grab,cylindrospermopsin,0
287,BKS_BL_SH_06,2025-08-20,brooks,shore,NA,grab,microcystin,0.47511151
287,BKS_BL_SH_06,2025-08-20,brooks,shore,NA,grab,nodularin,0
288,BKS_BL_SH_07,2025-08-20,brooks,shore,NA,grab,anatoxin,0
288,BKS_BL_SH_07,2025-08-20,brooks,shore,NA,grab,cylindrospermopsin,0
288,BKS_BL_SH_07,2025-08-20,brooks,shore,NA,grab,microcystin,0
288,BKS_BL_SH_07,2025-08-20,brooks,shore,NA,grab,nodularin,0
291,BKS_BL_BU_SS,2025-08-20,brooks,buoy,surface,grab,anatoxin,0
291,BKS_BL_BU_SS,2025-08-20,brooks,buoy,surface,grab,cylindrospermopsin,0
291,BKS_BL_BU_SS,2025-08-20,brooks,buoy,surface,grab,microcystin,0
291,BKS_BL_BU_SS,2025-08-20,brooks,buoy,surface,grab,nodularin,0
292,BKS_BL_BU_DD,2025-08-20,brooks,buoy,bottom,grab,anatoxin,0
292,BKS_BL_BU_DD,2025-08-20,brooks,buoy,bottom,grab,cylindrospermopsin,0
292,BKS_BL_BU_DD,2025-08-20,brooks,buoy,bottom,grab,microcystin,0
292,BKS_BL_BU_DD,2025-08-20,brooks,buoy,bottom,grab,nodularin,0
293,BKS_UB_SH_08,2025-08-19,upper brooks,shore,NA,grab,anatoxin,0
293,BKS_UB_SH_08,2025-08-19,upper brooks,shore,NA,grab,cylindrospermopsin,0
293,BKS_UB_SH_08,2025-08-19,upper brooks,shore,NA,grab,microcystin,0.385964787
293,BKS_UB_SH_08,2025-08-19,upper brooks,shore,NA,grab,nodularin,0
294,BKS_UB_SH_09,2025-08-19,upper brooks,shore,NA,grab,anatoxin,0
294,BKS_UB_SH_09,2025-08-19,upper brooks,shore,NA,grab,cylindrospermopsin,0
294,BKS_UB_SH_09,2025-08-19,upper brooks,shore,NA,grab,microcystin,0
294,BKS_UB_SH_09,2025-08-19,upper brooks,shore,NA,grab,nodularin,0
295,BKS_UB_BU_SS,2025-08-19,upper brooks,buoy,surface,grab,anatoxin,0
295,BKS_UB_BU_SS,2025-08-19,upper brooks,buoy,surface,grab,cylindrospermopsin,0
295,BKS_UB_BU_SS,2025-08-19,upper brooks,buoy,surface,grab,microcystin,0
295,BKS_UB_BU_SS,2025-08-19,upper brooks,buoy,surface,grab,nodularin,0
296,BKS_UB_BU_DD,2025-08-19,upper brooks,buoy,bottom,grab,anatoxin,0
296,BKS_UB_BU_DD,2025-08-19,upper brooks,buoy,bottom,grab,cylindrospermopsin,0
296,BKS_UB_BU_DD,2025-08-19,upper brooks,buoy,bottom,grab,microcystin,0
296,BKS_UB_BU_DD,2025-08-19,upper brooks,buoy,bottom,grab,nodularin,0
297,BKS_RN_SH_10,2025-08-19,rainbow,shore,NA,grab,anatoxin,0
297,BKS_RN_SH_10,2025-08-19,rainbow,shore,NA,grab,cylindrospermopsin,0
297,BKS_RN_SH_10,2025-08-19,rainbow,shore,NA,grab,microcystin,1.277685271
297,BKS_RN_SH_10,2025-08-19,rainbow,shore,NA,grab,nodularin,0
298,BKS_RN_BU_SS,2025-08-19,rainbow,buoy,surface,grab,anatoxin,0
298,BKS_RN_BU_SS,2025-08-19,rainbow,buoy,surface,grab,cylindrospermopsin,0
298,BKS_RN_BU_SS,2025-08-19,rainbow,buoy,surface,grab,microcystin,1.098632052
298,BKS_RN_BU_SS,2025-08-19,rainbow,buoy,surface,grab,nodularin,0
299,BKS_RN_BU_DD,2025-08-19,rainbow,buoy,bottom,grab,anatoxin,0
299,BKS_RN_BU_DD,2025-08-19,rainbow,buoy,bottom,grab,cylindrospermopsin,0
299,BKS_RN_BU_DD,2025-08-19,rainbow,buoy,bottom,grab,microcystin,1.274646178
299,BKS_RN_BU_DD,2025-08-19,rainbow,buoy,bottom,grab,nodularin,0
300,BKS_LJ_BU_SS,2025-08-19,lower jade,buoy,surface,grab,anatoxin,0
300,BKS_LJ_BU_SS,2025-08-19,lower jade,buoy,surface,grab,cylindrospermopsin,0
300,BKS_LJ_BU_SS,2025-08-19,lower jade,buoy,surface,grab,microcystin,0
300,BKS_LJ_BU_SS,2025-08-19,lower jade,buoy,surface,grab,nodularin,0
301,BKS_LJ_BU_DD,2025-08-19,lower jade,buoy,bottom,grab,anatoxin,0
301,BKS_LJ_BU_DD,2025-08-19,lower jade,buoy,bottom,grab,cylindrospermopsin,0
301,BKS_LJ_BU_DD,2025-08-19,lower jade,buoy,bottom,grab,microcystin,0
301,BKS_LJ_BU_DD,2025-08-19,lower jade,buoy,bottom,grab,nodularin,0
304,BYS_BR_SH_01,2025-08-18,boysen,shore,NA,grab,anatoxin,0
304,BYS_BR_SH_01,2025-08-18,boysen,shore,NA,grab,cylindrospermopsin,0
304,BYS_BR_SH_01,2025-08-18,boysen,shore,NA,grab,microcystin,3.144448032
304,BYS_BR_SH_01,2025-08-18,boysen,shore,NA,grab,nodularin,0
305,BYS_PC_SH_02,2025-08-18,boysen,shore,NA,grab,anatoxin,0
305,BYS_PC_SH_02,2025-08-18,boysen,shore,NA,grab,cylindrospermopsin,0
305,BYS_PC_SH_02,2025-08-18,boysen,shore,NA,grab,microcystin,0.374821447
305,BYS_PC_SH_02,2025-08-18,boysen,shore,NA,grab,nodularin,0
306,BYS_FR_SH_03,2025-08-18,boysen,shore,NA,grab,anatoxin,0
306,BYS_FR_SH_03,2025-08-18,boysen,shore,NA,grab,cylindrospermopsin,0
306,BYS_FR_SH_03,2025-08-18,boysen,shore,NA,grab,microcystin,1.30658236
306,BYS_FR_SH_03,2025-08-18,boysen,shore,NA,grab,nodularin,0
307,BYS_CR_SH_04,2025-08-18,boysen,shore,NA,grab,anatoxin,0
307,BYS_CR_SH_04,2025-08-18,boysen,shore,NA,grab,cylindrospermopsin,0
307,BYS_CR_SH_04,2025-08-18,boysen,shore,NA,grab,microcystin,8.199072815000001
307,BYS_CR_SH_04,2025-08-18,boysen,shore,NA,grab,nodularin,0
339,BKS_BL_SH_01,2025-09-01,brooks,shore,NA,grab,anatoxin,0
339,BKS_BL_SH_01,2025-09-01,brooks,shore,NA,grab,cylindrospermopsin,0
339,BKS_BL_SH_01,2025-09-01,brooks,shore,NA,grab,microcystin,0.497816348
339,BKS_BL_SH_01,2025-09-01,brooks,shore,NA,grab,nodularin,0
340,BKS_BL_SH_02,2025-09-01,brooks,shore,NA,grab,anatoxin,0
340,BKS_BL_SH_02,2025-09-01,brooks,shore,NA,grab,cylindrospermopsin,0
340,BKS_BL_SH_02,2025-09-01,brooks,shore,NA,grab,microcystin,0.875881504
340,BKS_BL_SH_02,2025-09-01,brooks,shore,NA,grab,nodularin,0
341,BKS_BL_SH_03,2025-09-01,brooks,shore,NA,grab,anatoxin,0
341,BKS_BL_SH_03,2025-09-01,brooks,shore,NA,grab,cylindrospermopsin,0
341,BKS_BL_SH_03,2025-09-01,brooks,shore,NA,grab,microcystin,2.564694913
341,BKS_BL_SH_03,2025-09-01,brooks,shore,NA,grab,nodularin,0
342,BKS_BL_SH_04,2025-09-02,brooks,shore,NA,grab,anatoxin,0
342,BKS_BL_SH_04,2025-09-02,brooks,shore,NA,grab,cylindrospermopsin,0
342,BKS_BL_SH_04,2025-09-02,brooks,shore,NA,grab,microcystin,4.218424949
342,BKS_BL_SH_04,2025-09-02,brooks,shore,NA,grab,nodularin,0
343,BKS_BL_SH_05,2025-09-02,brooks,shore,NA,grab,anatoxin,0
343,BKS_BL_SH_05,2025-09-02,brooks,shore,NA,grab,cylindrospermopsin,0
343,BKS_BL_SH_05,2025-09-02,brooks,shore,NA,grab,microcystin,1.769805886
343,BKS_BL_SH_05,2025-09-02,brooks,shore,NA,grab,nodularin,0
344,BKS_BL_SH_06,2025-09-02,brooks,shore,NA,grab,anatoxin,0
344,BKS_BL_SH_06,2025-09-02,brooks,shore,NA,grab,cylindrospermopsin,0
344,BKS_BL_SH_06,2025-09-02,brooks,shore,NA,grab,microcystin,3.333467132
344,BKS_BL_SH_06,2025-09-02,brooks,shore,NA,grab,nodularin,0
345,BKS_BL_SH_07,2025-09-02,brooks,shore,NA,grab,anatoxin,0
345,BKS_BL_SH_07,2025-09-02,brooks,shore,NA,grab,cylindrospermopsin,0
345,BKS_BL_SH_07,2025-09-02,brooks,shore,NA,grab,microcystin,1.97990518
345,BKS_BL_SH_07,2025-09-02,brooks,shore,NA,grab,nodularin,0
348,BKS_BL_BU_SS,2025-09-02,brooks,buoy,surface,grab,anatoxin,0
348,BKS_BL_BU_SS,2025-09-02,brooks,buoy,surface,grab,cylindrospermopsin,0
348,BKS_BL_BU_SS,2025-09-02,brooks,buoy,surface,grab,microcystin,0.260458471
348,BKS_BL_BU_SS,2025-09-02,brooks,buoy,surface,grab,nodularin,0
349,BKS_BL_BU_DD,2025-09-02,brooks,buoy,bottom,grab,anatoxin,0
349,BKS_BL_BU_DD,2025-09-02,brooks,buoy,bottom,grab,cylindrospermopsin,0
349,BKS_BL_BU_DD,2025-09-02,brooks,buoy,bottom,grab,microcystin,0
349,BKS_BL_BU_DD,2025-09-02,brooks,buoy,bottom,grab,nodularin,0
350,BKS_UB_SH_08,2025-09-02,upper brooks,shore,NA,grab,anatoxin,0
350,BKS_UB_SH_08,2025-09-02,upper brooks,shore,NA,grab,cylindrospermopsin,0
350,BKS_UB_SH_08,2025-09-02,upper brooks,shore,NA,grab,microcystin,0
350,BKS_UB_SH_08,2025-09-02,upper brooks,shore,NA,grab,nodularin,0
351,BKS_UB_SH_09,2025-09-02,upper brooks,shore,NA,grab,anatoxin,0
351,BKS_UB_SH_09,2025-09-02,upper brooks,shore,NA,grab,cylindrospermopsin,0
351,BKS_UB_SH_09,2025-09-02,upper brooks,shore,NA,grab,microcystin,1.482322691
351,BKS_UB_SH_09,2025-09-02,upper brooks,shore,NA,grab,nodularin,0
352,BKS_UB_BU_SS,2025-09-02,upper brooks,buoy,surface,grab,anatoxin,0
352,BKS_UB_BU_SS,2025-09-02,upper brooks,buoy,surface,grab,cylindrospermopsin,0
352,BKS_UB_BU_SS,2025-09-02,upper brooks,buoy,surface,grab,microcystin,1.498962235
352,BKS_UB_BU_SS,2025-09-02,upper brooks,buoy,surface,grab,nodularin,0
353,BKS_UB_BU_DD,2025-09-02,upper brooks,buoy,bottom,grab,anatoxin,0
353,BKS_UB_BU_DD,2025-09-02,upper brooks,buoy,bottom,grab,cylindrospermopsin,0
353,BKS_UB_BU_DD,2025-09-02,upper brooks,buoy,bottom,grab,microcystin,0
353,BKS_UB_BU_DD,2025-09-02,upper brooks,buoy,bottom,grab,nodularin,0
354,BKS_RN_SH_10,2025-09-02,rainbow,shore,NA,grab,anatoxin,0
354,BKS_RN_SH_10,2025-09-02,rainbow,shore,NA,grab,cylindrospermopsin,0
354,BKS_RN_SH_10,2025-09-02,rainbow,shore,NA,grab,microcystin,0
354,BKS_RN_SH_10,2025-09-02,rainbow,shore,NA,grab,nodularin,0
355,BKS_RN_BU_SS,2025-09-02,rainbow,buoy,surface,grab,anatoxin,0
355,BKS_RN_BU_SS,2025-09-02,rainbow,buoy,surface,grab,cylindrospermopsin,0
355,BKS_RN_BU_SS,2025-09-02,rainbow,buoy,surface,grab,microcystin,0
355,BKS_RN_BU_SS,2025-09-02,rainbow,buoy,surface,grab,nodularin,0
356,BKS_RN_BU_DD,2025-09-02,rainbow,buoy,bottom,grab,anatoxin,0
356,BKS_RN_BU_DD,2025-09-02,rainbow,buoy,bottom,grab,cylindrospermopsin,0
356,BKS_RN_BU_DD,2025-09-02,rainbow,buoy,bottom,grab,microcystin,0
356,BKS_RN_BU_DD,2025-09-02,rainbow,buoy,bottom,grab,nodularin,0
357,BKS_LJ_BU_SS,2025-09-02,lower jade,buoy,surface,grab,anatoxin,0
357,BKS_LJ_BU_SS,2025-09-02,lower jade,buoy,surface,grab,cylindrospermopsin,0
357,BKS_LJ_BU_SS,2025-09-02,lower jade,buoy,surface,grab,microcystin,0
357,BKS_LJ_BU_SS,2025-09-02,lower jade,buoy,surface,grab,nodularin,0
358,BKS_LJ_BU_DD,2025-09-02,lower jade,buoy,bottom,grab,anatoxin,0
358,BKS_LJ_BU_DD,2025-09-02,lower jade,buoy,bottom,grab,cylindrospermopsin,0
358,BKS_LJ_BU_DD,2025-09-02,lower jade,buoy,bottom,grab,microcystin,0
358,BKS_LJ_BU_DD,2025-09-02,lower jade,buoy,bottom,grab,nodularin,0
361,BYS_BR_SH_01,2025-09-01,boysen,shore,NA,grab,anatoxin,0
361,BYS_BR_SH_01,2025-09-01,boysen,shore,NA,grab,cylindrospermopsin,0
361,BYS_BR_SH_01,2025-09-01,boysen,shore,NA,grab,microcystin,95.50824718
361,BYS_BR_SH_01,2025-09-01,boysen,shore,NA,grab,nodularin,0
362,BYS_PC_SH_02,2025-09-01,boysen,shore,NA,grab,anatoxin,0
362,BYS_PC_SH_02,2025-09-01,boysen,shore,NA,grab,cylindrospermopsin,0
362,BYS_PC_SH_02,2025-09-01,boysen,shore,NA,grab,microcystin,0.983938297
362,BYS_PC_SH_02,2025-09-01,boysen,shore,NA,grab,nodularin,0
363,BYS_FR_SH_03,2025-09-01,boysen,shore,NA,grab,anatoxin,0
363,BYS_FR_SH_03,2025-09-01,boysen,shore,NA,grab,cylindrospermopsin,0
363,BYS_FR_SH_03,2025-09-01,boysen,shore,NA,grab,microcystin,47.252046423
363,BYS_FR_SH_03,2025-09-01,boysen,shore,NA,grab,nodularin,0
364,BYS_CR_SH_04,2025-09-01,boysen,shore,NA,grab,anatoxin,0
364,BYS_CR_SH_04,2025-09-01,boysen,shore,NA,grab,cylindrospermopsin,0
364,BYS_CR_SH_04,2025-09-01,boysen,shore,NA,grab,microcystin,15.085929928999999
364,BYS_CR_SH_04,2025-09-01,boysen,shore,NA,grab,nodularin,0
394,BKS_BL_SH_01,2025-09-16,brooks,shore,NA,grab,anatoxin,0
394,BKS_BL_SH_01,2025-09-16,brooks,shore,NA,grab,cylindrospermopsin,0
394,BKS_BL_SH_01,2025-09-16,brooks,shore,NA,grab,microcystin,0.788072829
394,BKS_BL_SH_01,2025-09-16,brooks,shore,NA,grab,nodularin,0
395,BKS_BL_SH_02,2025-09-16,brooks,shore,NA,grab,anatoxin,0
395,BKS_BL_SH_02,2025-09-16,brooks,shore,NA,grab,cylindrospermopsin,0
395,BKS_BL_SH_02,2025-09-16,brooks,shore,NA,grab,microcystin,1.660345757
395,BKS_BL_SH_02,2025-09-16,brooks,shore,NA,grab,nodularin,0
396,BKS_BL_SH_03,2025-09-16,brooks,shore,NA,grab,anatoxin,0
396,BKS_BL_SH_03,2025-09-16,brooks,shore,NA,grab,cylindrospermopsin,0
396,BKS_BL_SH_03,2025-09-16,brooks,shore,NA,grab,microcystin,0
396,BKS_BL_SH_03,2025-09-16,brooks,shore,NA,grab,nodularin,0
397,BKS_BL_SH_04,2025-09-17,brooks,shore,NA,grab,anatoxin,0
397,BKS_BL_SH_04,2025-09-17,brooks,shore,NA,grab,cylindrospermopsin,0
397,BKS_BL_SH_04,2025-09-17,brooks,shore,NA,grab,microcystin,14.01009453
397,BKS_BL_SH_04,2025-09-17,brooks,shore,NA,grab,nodularin,0
398,BKS_BL_SH_05,2025-09-17,brooks,shore,NA,grab,anatoxin,0
398,BKS_BL_SH_05,2025-09-17,brooks,shore,NA,grab,cylindrospermopsin,0
398,BKS_BL_SH_05,2025-09-17,brooks,shore,NA,grab,microcystin,16.017995115999998
398,BKS_BL_SH_05,2025-09-17,brooks,shore,NA,grab,nodularin,0
399,BKS_BL_SH_06,2025-09-17,brooks,shore,NA,grab,anatoxin,0
399,BKS_BL_SH_06,2025-09-17,brooks,shore,NA,grab,cylindrospermopsin,0
399,BKS_BL_SH_06,2025-09-17,brooks,shore,NA,grab,microcystin,12.04482413
399,BKS_BL_SH_06,2025-09-17,brooks,shore,NA,grab,nodularin,0
400,BKS_BL_SH_07,2025-09-17,brooks,shore,NA,grab,anatoxin,0
400,BKS_BL_SH_07,2025-09-17,brooks,shore,NA,grab,cylindrospermopsin,0
400,BKS_BL_SH_07,2025-09-17,brooks,shore,NA,grab,microcystin,11.46504631
400,BKS_BL_SH_07,2025-09-17,brooks,shore,NA,grab,nodularin,0
403,BKS_BL_BU_SS,2025-09-17,brooks,buoy,surface,grab,anatoxin,0
403,BKS_BL_BU_SS,2025-09-17,brooks,buoy,surface,grab,cylindrospermopsin,0
403,BKS_BL_BU_SS,2025-09-17,brooks,buoy,surface,grab,microcystin,0
403,BKS_BL_BU_SS,2025-09-17,brooks,buoy,surface,grab,nodularin,0
404,BKS_BL_BU_DD,2025-09-17,brooks,buoy,bottom,grab,anatoxin,0
404,BKS_BL_BU_DD,2025-09-17,brooks,buoy,bottom,grab,cylindrospermopsin,0
404,BKS_BL_BU_DD,2025-09-17,brooks,buoy,bottom,grab,microcystin,1.713872963
404,BKS_BL_BU_DD,2025-09-17,brooks,buoy,bottom,grab,nodularin,0
405,BKS_UB_SH_08,2025-09-17,upper brooks,shore,NA,grab,anatoxin,0
405,BKS_UB_SH_08,2025-09-17,upper brooks,shore,NA,grab,cylindrospermopsin,0
405,BKS_UB_SH_08,2025-09-17,upper brooks,shore,NA,grab,microcystin,0
405,BKS_UB_SH_08,2025-09-17,upper brooks,shore,NA,grab,nodularin,0
406,BKS_UB_SH_09,2025-09-17,upper brooks,shore,NA,grab,anatoxin,0
406,BKS_UB_SH_09,2025-09-17,upper brooks,shore,NA,grab,cylindrospermopsin,0
406,BKS_UB_SH_09,2025-09-17,upper brooks,shore,NA,grab,microcystin,0
406,BKS_UB_SH_09,2025-09-17,upper brooks,shore,NA,grab,nodularin,0
407,BKS_UB_BU_SS,2025-09-17,upper brooks,buoy,surface,grab,anatoxin,0
407,BKS_UB_BU_SS,2025-09-17,upper brooks,buoy,surface,grab,cylindrospermopsin,0
407,BKS_UB_BU_SS,2025-09-17,upper brooks,buoy,surface,grab,microcystin,1.523219882
407,BKS_UB_BU_SS,2025-09-17,upper brooks,buoy,surface,grab,nodularin,0
408,BKS_UB_BU_DD,2025-09-17,upper brooks,buoy,bottom,grab,anatoxin,0
408,BKS_UB_BU_DD,2025-09-17,upper brooks,buoy,bottom,grab,cylindrospermopsin,0
408,BKS_UB_BU_DD,2025-09-17,upper brooks,buoy,bottom,grab,microcystin,0
408,BKS_UB_BU_DD,2025-09-17,upper brooks,buoy,bottom,grab,nodularin,0
409,BKS_RN_SH_10,2025-09-17,rainbow,shore,NA,grab,anatoxin,0
409,BKS_RN_SH_10,2025-09-17,rainbow,shore,NA,grab,cylindrospermopsin,0
409,BKS_RN_SH_10,2025-09-17,rainbow,shore,NA,grab,microcystin,319.866276964
409,BKS_RN_SH_10,2025-09-17,rainbow,shore,NA,grab,nodularin,0
410,BKS_RN_BU_SS,2025-09-17,rainbow,buoy,surface,grab,anatoxin,0
410,BKS_RN_BU_SS,2025-09-17,rainbow,buoy,surface,grab,cylindrospermopsin,0
410,BKS_RN_BU_SS,2025-09-17,rainbow,buoy,surface,grab,microcystin,0
410,BKS_RN_BU_SS,2025-09-17,rainbow,buoy,surface,grab,nodularin,0
411,BKS_RN_BU_DD,2025-09-17,rainbow,buoy,bottom,grab,anatoxin,0
411,BKS_RN_BU_DD,2025-09-17,rainbow,buoy,bottom,grab,cylindrospermopsin,0
411,BKS_RN_BU_DD,2025-09-17,rainbow,buoy,bottom,grab,microcystin,0
411,BKS_RN_BU_DD,2025-09-17,rainbow,buoy,bottom,grab,nodularin,0
412,BKS_LJ_BU_SS,2025-09-17,lower jade,buoy,surface,grab,anatoxin,0
412,BKS_LJ_BU_SS,2025-09-17,lower jade,buoy,surface,grab,cylindrospermopsin,0
412,BKS_LJ_BU_SS,2025-09-17,lower jade,buoy,surface,grab,microcystin,0
412,BKS_LJ_BU_SS,2025-09-17,lower jade,buoy,surface,grab,nodularin,0
413,BKS_LJ_BU_DD,2025-09-17,lower jade,buoy,bottom,grab,anatoxin,0
413,BKS_LJ_BU_DD,2025-09-17,lower jade,buoy,bottom,grab,cylindrospermopsin,0
413,BKS_LJ_BU_DD,2025-09-17,lower jade,buoy,bottom,grab,microcystin,0
413,BKS_LJ_BU_DD,2025-09-17,lower jade,buoy,bottom,grab,nodularin,0
416,BYS_BR_SH_01,2025-09-16,boysen,shore,NA,grab,anatoxin,0
416,BYS_BR_SH_01,2025-09-16,boysen,shore,NA,grab,cylindrospermopsin,0
416,BYS_BR_SH_01,2025-09-16,boysen,shore,NA,grab,microcystin,7207.478603629999
416,BYS_BR_SH_01,2025-09-16,boysen,shore,NA,grab,nodularin,0
417,BYS_PC_SH_02,2025-09-16,boysen,shore,NA,grab,anatoxin,0
417,BYS_PC_SH_02,2025-09-16,boysen,shore,NA,grab,cylindrospermopsin,0
417,BYS_PC_SH_02,2025-09-16,boysen,shore,NA,grab,microcystin,5.041982105
417,BYS_PC_SH_02,2025-09-16,boysen,shore,NA,grab,nodularin,0
418,BYS_FR_SH_03,2025-09-16,boysen,shore,NA,grab,anatoxin,0
418,BYS_FR_SH_03,2025-09-16,boysen,shore,NA,grab,cylindrospermopsin,0
418,BYS_FR_SH_03,2025-09-16,boysen,shore,NA,grab,microcystin,10.32339678
418,BYS_FR_SH_03,2025-09-16,boysen,shore,NA,grab,nodularin,0
419,BYS_CR_SH_04,2025-09-16,boysen,shore,NA,grab,anatoxin,0
419,BYS_CR_SH_04,2025-09-16,boysen,shore,NA,grab,cylindrospermopsin,0
419,BYS_CR_SH_04,2025-09-16,boysen,shore,NA,grab,microcystin,0
419,BYS_CR_SH_04,2025-09-16,boysen,shore,NA,grab,nodularin,0
